[PROP/wald] K=1  FRcrit_avg=0.02044149  conf=0.99  n=15299
half_norm=0.00283006  e_goal=0.01000000  FPC=on  DESIGN=WOR  N_pop=196608
EP_control=wald  E_wald_final=0.00283006
Wald_CI(99%):   [0.01761143, 0.02327155]   half=0.00283006   se=0.00109863   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.10810440 (n=15299)
injections_used=15299  pilot=15299
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06851346493234851, 0.14956579065625203, 0.09557507843649912, 0.1041859864206811, 0.08012702014837571, 0.08514062397869142, 0.12689274013007387, 0.09291839948689457, 0.08459498986861887, 0.11248590594156481] Δmax = 0.006 KL = 0.001 TV = 0.015 H_baseline = 2.277 H_global = 2.277 ΔH = -0.000 BER = 0.0204 per_class = [0.01562193607425322, 0.007912546836659524, 0.011825154812619183, 0.01560741079663885, 0.01558925419962089, 0.015030691251359269, 0.01562193607425322, 0.04859402575331721, 0.01562193607425322, 0.042159618275704296] agree = 0.980 flip_asym = 0.880

[E_seq] n, E_wald
15299,0.00283006

[E_final] E_wald=0.00283006

Top-100 worst injections
 90) Inj   7569 | FRcrit=0.898438 | maj=2@0.63 Δmax=0.543 KL=1.558 | inception3a.branch4.1.conv [8, 168, 0, 0] bit 30
 91) Inj   5854 | FRcrit=0.898438 | maj=2@0.98 Δmax=0.891 KL=2.304 | inception3a.branch4.1.conv [21, 91, 0, 0] bit 30
 92) Inj  12402 | FRcrit=0.898438 | maj=2@0.81 Δmax=0.719 KL=1.830 | inception3a.branch4.1.conv [8, 43, 0, 0] bit 30
 93) Inj   3893 | FRcrit=0.894531 | maj=2@0.52 Δmax=0.430 KL=1.489 | inception3a.branch4.1.conv [3, 48, 0, 0] bit 30
 94) Inj   2463 | FRcrit=0.894531 | maj=5@0.52 Δmax=0.438 KL=1.514 | inception3a.branch4.1.conv [13, 98, 0, 0] bit 30
 95) Inj   7600 | FRcrit=0.894531 | maj=2@0.55 Δmax=0.457 KL=1.470 | inception3a.branch4.1.conv [17, 169, 0, 0] bit 30
 96) Inj   8787 | FRcrit=0.894531 | maj=2@0.96 Δmax=0.875 KL=2.224 | inception3a.branch4.1.conv [25, 10, 0, 0] bit 30
 97) Inj  14135 | FRcrit=0.894531 | maj=2@0.87 Δmax=0.777 KL=1.955 | inception3a.branch4.1.conv [0, 65, 0, 0] bit 30
 98) Inj  12909 | FRcrit=0.894531 | maj=9@0.43 Δmax=0.309 KL=1.025 | inception3a.branch4.1.conv [10, 50, 0, 0] bit 30
 99) Inj  10559 | FRcrit=0.890625 | maj=2@0.86 Δmax=0.773 KL=1.930 | inception3a.branch4.1.conv [0, 2, 0, 0] bit 30
100) Inj  13597 | FRcrit=0.890625 | maj=5@0.89 Δmax=0.805 KL=2.052 | inception3a.branch4.1.conv [13, 100, 0, 0] bit 30
