[PROP/wald] K=1  FRcrit_avg=0.01876108  conf=0.99  steps=1  n=1481
half_norm=0.00908206  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2703360
EP_control=wald  E_wald_final=0.00908206
Wald_CI(99%):   [0.00967901, 0.02784314]   half=0.00908206   se=0.00352565   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10127483 (n=1481)
injections_used=1481  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07004082967589467, 0.1479838369345037, 0.08830868079000675, 0.10437151839972991, 0.08038276502363267, 0.0861300430452397, 0.12717336259284268, 0.09435664247130317, 0.0861511436529372, 0.11510117741390952] Δmax = 0.004 KL = 0.000 TV = 0.010 H_baseline = 2.277 H_global = 2.278 ΔH = -0.001 BER = 0.0186 per_class = [0.012233387615680979, 0.008102633355840648, 0.017085987728620498, 0.013479380798759598, 0.013470627954085077, 0.012123258240746424, 0.013443005340371985, 0.046049966239027684, 0.012153950033760972, 0.037992347512941706] agree = 0.981 flip_asym = 0.729

[E_seq] n, E_wald
664,0.01493187
1481,0.00908206

[E_final] E_wald=0.00908206

Top-100 worst injections (proposed iter EP)
 76) Inj   1045 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [134, 236, 0, 0] bit 28
 77) Inj   1141 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [6, 31, 0, 0] bit 8
 78) Inj   1054 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [111, 99, 0, 0] bit 14
 79) Inj   1012 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [134, 410, 0, 0] bit 10
 80) Inj    819 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [66, 363, 0, 0] bit 13
 81) Inj   1152 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [64, 170, 0, 0] bit 14
 82) Inj    798 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [82, 106, 0, 0] bit 27
 83) Inj    822 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [45, 437, 0, 0] bit 7
 84) Inj    872 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [156, 331, 0, 0] bit 19
 85) Inj   1239 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [52, 333, 0, 0] bit 7
 86) Inj   1291 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [33, 479, 0, 0] bit 20
 87) Inj    862 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [54, 402, 0, 0] bit 14
 88) Inj    940 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [21, 11, 0, 0] bit 6
 89) Inj    971 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [28, 248, 0, 0] bit 18
 90) Inj    869 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [98, 16, 0, 0] bit 2
 91) Inj   1219 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [22, 233, 0, 0] bit 4
 92) Inj   1377 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [146, 327, 0, 0] bit 27
 93) Inj   1224 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [20, 413, 0, 0] bit 10
 94) Inj   1221 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [156, 4, 0, 0] bit 0
 95) Inj    919 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [69, 445, 0, 0] bit 10
 96) Inj   1283 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [70, 270, 0, 0] bit 21
 97) Inj   1138 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [42, 305, 0, 0] bit 4
 98) Inj   1151 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [34, 200, 0, 0] bit 29
 99) Inj   1376 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [24, 255, 0, 0] bit 20
100) Inj   1069 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [82, 525, 0, 0] bit 23
