[PROP/wald] K=1  FRcrit_avg=0.02174338  conf=0.99  n=16590
half_norm=0.00291684  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1048576
EP_control=wald  E_wald_final=0.00291684
Wald_CI(99%):   [0.01882654, 0.02466022]   half=0.00291684   se=0.00113231   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11147672 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06846627298071127, 0.15127853752260398, 0.08972978827606992, 0.1050708257986739, 0.08017725286317058, 0.0866784866636528, 0.12742639579566004, 0.09307635435503316, 0.08472441983122363, 0.11337166591320072] Δmax = 0.007 KL = 0.000 TV = 0.012 H_baseline = 2.277 H_global = 2.276 ΔH = 0.001 BER = 0.0218 per_class = [0.01717547778605113, 0.007668246908753238, 0.019275624393951307, 0.01643560377737593, 0.016892706449668476, 0.014954244068168119, 0.016463002538951905, 0.04985895117540687, 0.016883116883116882, 0.04251557162949568] agree = 0.978 flip_asym = 0.742

[E_seq] n, E_wald
16590,0.00291684

[E_final] E_wald=0.00291684

Top-100 worst injections
 68) Inj   6055 | FRcrit=0.898438 | maj=3@0.63 Δmax=0.527 KL=1.442 | inception4b.branch4.1.conv [31, 267, 0, 0] bit 30
 69) Inj   3054 | FRcrit=0.898438 | maj=5@0.93 Δmax=0.844 KL=2.163 | inception4b.branch4.1.conv [54, 480, 0, 0] bit 30
 70) Inj   7246 | FRcrit=0.898438 | maj=8@0.61 Δmax=0.523 KL=1.562 | inception4b.branch4.1.conv [50, 397, 0, 0] bit 30
 71) Inj  10011 | FRcrit=0.898438 | maj=3@0.58 Δmax=0.473 KL=1.436 | inception4b.branch4.1.conv [33, 432, 0, 0] bit 30
 72) Inj   7815 | FRcrit=0.898438 | maj=5@0.77 Δmax=0.684 KL=1.627 | inception4b.branch4.1.conv [56, 206, 0, 0] bit 30
 73) Inj  13059 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4b.branch4.1.conv [35, 196, 0, 0] bit 30
 74) Inj  13897 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4b.branch4.1.conv [35, 358, 0, 0] bit 30
 75) Inj    163 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4b.branch4.1.conv [35, 487, 0, 0] bit 30
 76) Inj  10014 | FRcrit=0.894531 | maj=1@0.54 Δmax=0.391 KL=1.426 | inception4b.branch4.1.conv [52, 229, 0, 0] bit 30
 77) Inj     75 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4b.branch4.1.conv [35, 143, 0, 0] bit 30
 78) Inj   1742 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4b.branch4.1.conv [35, 328, 0, 0] bit 30
 79) Inj  14045 | FRcrit=0.894531 | maj=5@0.87 Δmax=0.781 KL=1.889 | inception4b.branch4.1.conv [56, 448, 0, 0] bit 30
 80) Inj  15555 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4b.branch4.1.conv [35, 309, 0, 0] bit 30
 81) Inj  11846 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4b.branch4.1.conv [35, 485, 0, 0] bit 30
 82) Inj  12993 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4b.branch4.1.conv [35, 356, 0, 0] bit 30
 83) Inj   1162 | FRcrit=0.890625 | maj=3@0.99 Δmax=0.883 KL=2.182 | inception4b.branch4.1.conv [60, 506, 0, 0] bit 30
 84) Inj   9219 | FRcrit=0.890625 | maj=1@0.51 Δmax=0.414 KL=1.544 | inception4b.branch4.1.conv [23, 448, 0, 0] bit 30
 85) Inj  11415 | FRcrit=0.890625 | maj=1@0.52 Δmax=0.395 KL=1.492 | inception4b.branch4.1.conv [14, 145, 0, 0] bit 30
 86) Inj  11002 | FRcrit=0.890625 | maj=3@0.97 Δmax=0.863 KL=2.100 | inception4b.branch4.1.conv [60, 501, 0, 0] bit 30
 87) Inj  15860 | FRcrit=0.890625 | maj=2@0.73 Δmax=0.645 KL=1.705 | inception4b.branch4.1.conv [1, 234, 0, 0] bit 30
 88) Inj  12728 | FRcrit=0.890625 | maj=1@0.82 Δmax=0.680 KL=1.479 | inception4b.branch4.1.conv [7, 398, 0, 0] bit 30
 89) Inj   2532 | FRcrit=0.890625 | maj=9@0.95 Δmax=0.836 KL=1.969 | inception4b.branch4.1.conv [18, 283, 0, 0] bit 30
 90) Inj  12175 | FRcrit=0.890625 | maj=9@0.97 Δmax=0.855 KL=2.034 | inception4b.branch4.1.conv [37, 395, 0, 0] bit 30
 91) Inj   5143 | FRcrit=0.886719 | maj=1@0.62 Δmax=0.480 KL=1.316 | inception4b.branch4.1.conv [2, 383, 0, 0] bit 30
 92) Inj    564 | FRcrit=0.886719 | maj=6@0.54 Δmax=0.406 KL=1.546 | inception4b.branch4.1.conv [47, 288, 0, 0] bit 30
 93) Inj   7875 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4b.branch4.1.conv [16, 255, 0, 0] bit 30
 94) Inj   9760 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4b.branch4.1.conv [43, 153, 0, 0] bit 30
 95) Inj  13948 | FRcrit=0.882812 | maj=5@0.64 Δmax=0.559 KL=1.619 | inception4b.branch4.1.conv [15, 312, 0, 0] bit 30
 96) Inj  10715 | FRcrit=0.882812 | maj=1@0.58 Δmax=0.438 KL=1.302 | inception4b.branch4.1.conv [2, 241, 0, 0] bit 30
 97) Inj  13407 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4b.branch4.1.conv [16, 66, 0, 0] bit 30
 98) Inj  14049 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4b.branch4.1.conv [61, 126, 0, 0] bit 30
 99) Inj  11730 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4b.branch4.1.conv [43, 303, 0, 0] bit 30
100) Inj  15084 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4b.branch4.1.conv [43, 240, 0, 0] bit 30
