[PROP/wald] K=1  FRcrit_avg=0.02057621  conf=0.99  n=16590
half_norm=0.00283917  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=11943936
EP_control=wald  E_wald_final=0.00283917
Wald_CI(99%):   [0.01773705, 0.02341538]   half=0.00283917   se=0.00110216   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10887516 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06912555568113321, 0.14851496571729958, 0.09000409697106691, 0.10502279234478601, 0.08049865317962628, 0.08614446767631104, 0.12742239300783603, 0.09332405628390597, 0.0850580639692586, 0.11488495516877636] Δmax = 0.004 KL = 0.000 TV = 0.009 H_baseline = 2.277 H_global = 2.277 ΔH = -0.001 BER = 0.0205 per_class = [0.015062227422614616, 0.009514034830490526, 0.017760830253950782, 0.014810349831446877, 0.015265220012055455, 0.014058304564633679, 0.015091237876048002, 0.04839300783604581, 0.015195353170036714, 0.039811131203536264] agree = 0.979 flip_asym = 0.640

[E_seq] n, E_wald
16590,0.00283917

[E_final] E_wald=0.00283917

Top-100 worst injections
 87) Inj  12661 | FRcrit=0.906250 | maj=3@0.55 Δmax=0.445 KL=1.420 | inception4d.branch2.1.conv [202, 112, 0, 0] bit 30
 88) Inj   9099 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception4d.branch2.1.conv [122, 139, 2, 1] bit 30
 89) Inj   2946 | FRcrit=0.902344 | maj=7@0.99 Δmax=0.895 KL=2.278 | inception4d.branch2.1.conv [165, 13, 1, 2] bit 30
 90) Inj  14345 | FRcrit=0.902344 | maj=3@0.89 Δmax=0.789 KL=1.879 | inception4d.branch2.1.conv [287, 15, 2, 0] bit 30
 91) Inj  13565 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception4d.branch2.1.conv [163, 20, 0, 2] bit 30
 92) Inj   5780 | FRcrit=0.902344 | maj=3@0.79 Δmax=0.680 KL=1.661 | inception4d.branch2.1.conv [245, 104, 0, 1] bit 30
 93) Inj   9926 | FRcrit=0.902344 | maj=3@0.77 Δmax=0.668 KL=1.643 | inception4d.branch2.1.conv [245, 104, 0, 1] bit 30
 94) Inj   7660 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception4d.branch2.1.conv [85, 17, 0, 0] bit 30
 95) Inj   5924 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception4d.branch2.1.conv [163, 61, 2, 1] bit 30
 96) Inj   6138 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4d.branch2.1.conv [30, 30, 0, 2] bit 30
 97) Inj  12663 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4d.branch2.1.conv [202, 36, 2, 0] bit 30
 98) Inj  12299 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4d.branch2.1.conv [30, 68, 1, 2] bit 30
 99) Inj  12977 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4d.branch2.1.conv [50, 16, 0, 1] bit 30
100) Inj  14540 | FRcrit=0.894531 | maj=3@0.99 Δmax=0.887 KL=2.201 | inception4d.branch2.1.conv [202, 107, 1, 0] bit 30
