[PROP/wald] K=1  FRcrit_avg=0.01530564  conf=0.99  n=15791
half_norm=0.00245524  e_goal=0.01000000  FPC=on  DESIGN=WOR  N_pop=327680
EP_control=wald  E_wald_final=0.00245524
Wald_CI(99%):   [0.01285041, 0.01776088]   half=0.00245524   se=0.00095312   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.07530466 (n=15791)
injections_used=15791  pilot=15791
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.0694321033341777, 0.14386260369830917, 0.08977423849027927, 0.10601692617630296, 0.0815461536634792, 0.08630435255841935, 0.12870018919004497, 0.09413120012982078, 0.08626922574567791, 0.1139630070134887] Δmax = 0.004 KL = 0.000 TV = 0.008 H_baseline = 2.277 H_global = 2.279 ΔH = -0.003 BER = 0.0150 per_class = [0.009409678633026258, 0.009007867978167517, 0.01308945932327991, 0.008417828251910958, 0.00822937116078779, 0.008169210309670065, 0.008387977041007248, 0.04161611044265721, 0.007697134731521407, 0.035526565765309354] agree = 0.985 flip_asym = 0.570

[E_seq] n, E_wald
15791,0.00245524

[E_final] E_wald=0.00245524

Top-100 worst injections
 67) Inj    916 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | fc [3, 470] bit 30
 68) Inj  10759 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | fc [3, 352] bit 30
 69) Inj   8498 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | fc [3, 266] bit 30
 70) Inj   8001 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | fc [3, 347] bit 30
 71) Inj   7605 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | fc [3, 950] bit 30
 72) Inj   6685 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | fc [3, 925] bit 30
 73) Inj   3210 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | fc [3, 733] bit 30
 74) Inj  13573 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | fc [3, 279] bit 30
 75) Inj   5708 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | fc [3, 463] bit 30
 76) Inj   4535 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | fc [3, 379] bit 30
 77) Inj  15672 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | fc [3, 896] bit 30
 78) Inj   3383 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | fc [3, 276] bit 30
 79) Inj    900 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | fc [9, 605] bit 30
 80) Inj   3329 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | fc [9, 349] bit 30
 81) Inj   7446 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | fc [9, 911] bit 30
 82) Inj   6291 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | fc [9, 38] bit 30
 83) Inj  11583 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | fc [9, 249] bit 30
 84) Inj   1356 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | fc [9, 246] bit 30
 85) Inj  15019 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | fc [9, 594] bit 30
 86) Inj  14985 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | fc [9, 61] bit 30
 87) Inj   2543 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | fc [9, 288] bit 30
 88) Inj   1011 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | fc [6, 386] bit 30
 89) Inj     61 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | fc [6, 786] bit 30
 90) Inj   3838 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | fc [6, 220] bit 30
 91) Inj   8720 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | fc [6, 1001] bit 30
 92) Inj   1271 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | fc [6, 982] bit 30
 93) Inj  10909 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | fc [6, 974] bit 30
 94) Inj  14699 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | fc [6, 279] bit 30
 95) Inj  10195 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | fc [6, 970] bit 30
 96) Inj   6700 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | fc [6, 487] bit 30
 97) Inj  11134 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | fc [6, 366] bit 30
 98) Inj  15626 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | fc [6, 494] bit 30
 99) Inj  12296 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | fc [6, 955] bit 30
100) Inj  15037 | FRcrit=0.859375 | maj=6@0.99 Δmax=0.859 KL=1.980 | fc [6, 885] bit 30
