[PROP/wald] K=1  FRcrit_avg=0.01844485  conf=0.99  n=16590
half_norm=0.00269102  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2359296
EP_control=wald  E_wald_final=0.00269102
Wald_CI(99%):   [0.01575382, 0.02113587]   half=0.00269102   se=0.00104465   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.09953706 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.0686951382610006, 0.15010360156720917, 0.09046347573839662, 0.10444356540084389, 0.08035502373417722, 0.08479364451476794, 0.12721542533152502, 0.09319596707353828, 0.08572488132911392, 0.11500927704942737] Δmax = 0.006 KL = 0.000 TV = 0.011 H_baseline = 2.277 H_global = 2.277 ΔH = 0.000 BER = 0.0184 per_class = [0.013381555153707052, 0.005853412182526107, 0.015226563933223261, 0.013345835286763556, 0.013321277878239904, 0.013329497506712697, 0.013290225948453797, 0.04654370102471368, 0.012419858622390268, 0.037739602169981915] agree = 0.982 flip_asym = 0.812

[E_seq] n, E_wald
16590,0.00269102

[E_final] E_wald=0.00269102

Top-100 worst injections
 68) Inj   4549 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [142, 2, 0, 0] bit 30
 69) Inj   1119 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [88, 108, 0, 0] bit 30
 70) Inj  14796 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [121, 54, 0, 0] bit 30
 71) Inj  11325 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [105, 324, 0, 0] bit 30
 72) Inj  10470 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [68, 102, 0, 0] bit 30
 73) Inj  12789 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [23, 342, 0, 0] bit 30
 74) Inj  12075 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [91, 422, 0, 0] bit 30
 75) Inj   5385 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [8, 43, 0, 0] bit 30
 76) Inj  15376 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [142, 385, 0, 0] bit 30
 77) Inj  14418 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [47, 0, 0, 0] bit 30
 78) Inj   8647 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [10, 437, 0, 0] bit 30
 79) Inj   5877 | FRcrit=0.882812 | maj=1@0.48 Δmax=0.375 KL=1.292 | inception4d.branch2.0.conv [139, 150, 0, 0] bit 30
 80) Inj   4827 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [68, 176, 0, 0] bit 30
 81) Inj   5907 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [91, 411, 0, 0] bit 30
 82) Inj   4588 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.879 KL=2.119 | inception4d.branch2.0.conv [8, 186, 0, 0] bit 30
 83) Inj  13268 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [23, 92, 0, 0] bit 30
 84) Inj  10514 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [65, 252, 0, 0] bit 30
 85) Inj   9434 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [65, 194, 0, 0] bit 30
 86) Inj   8927 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [140, 288, 0, 0] bit 30
 87) Inj   4100 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [65, 41, 0, 0] bit 30
 88) Inj  11772 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [4, 428, 0, 0] bit 30
 89) Inj   9415 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [95, 32, 0, 0] bit 30
 90) Inj  15445 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [142, 255, 0, 0] bit 30
 91) Inj  11788 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [65, 129, 0, 0] bit 30
 92) Inj  10052 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [33, 237, 0, 0] bit 30
 93) Inj   2150 | FRcrit=0.878906 | maj=1@0.75 Δmax=0.602 KL=1.488 | inception4d.branch2.0.conv [136, 257, 0, 0] bit 30
 94) Inj  10614 | FRcrit=0.878906 | maj=1@0.90 Δmax=0.754 KL=1.668 | inception4d.branch2.0.conv [42, 505, 0, 0] bit 30
 95) Inj  10027 | FRcrit=0.878906 | maj=0@0.27 Δmax=0.203 KL=0.680 | inception4d.branch2.0.conv [50, 226, 0, 0] bit 30
 96) Inj  14576 | FRcrit=0.878906 | maj=9@0.99 Δmax=0.871 KL=2.083 | inception4d.branch2.0.conv [100, 148, 0, 0] bit 30
 97) Inj  14260 | FRcrit=0.875000 | maj=1@0.46 Δmax=0.352 KL=1.250 | inception4d.branch2.0.conv [126, 170, 0, 0] bit 30
 98) Inj   5617 | FRcrit=0.871094 | maj=2@0.54 Δmax=0.445 KL=1.477 | inception4d.branch2.0.conv [136, 502, 0, 0] bit 30
 99) Inj   5817 | FRcrit=0.871094 | maj=9@0.95 Δmax=0.832 KL=1.957 | inception4d.branch2.0.conv [4, 252, 0, 0] bit 30
100) Inj  13031 | FRcrit=0.871094 | maj=1@0.87 Δmax=0.723 KL=1.548 | inception4d.branch2.0.conv [6, 451, 0, 0] bit 30
