[PROP/wald] K=1  FRcrit_avg=0.01903326  conf=0.99  n=16590
half_norm=0.00273279  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2097152
EP_control=wald  E_wald_final=0.00273279
Wald_CI(99%):   [0.01630047, 0.02176605]   half=0.00273279   se=0.00106087   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10236532 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06862473628691983, 0.14978290762507535, 0.08937518836648584, 0.10450549088306209, 0.0803519627787824, 0.08868694431886678, 0.1283738792194093, 0.09307517706449668, 0.08475856125678119, 0.11246515220012056] Δmax = 0.005 KL = 0.000 TV = 0.012 H_baseline = 2.277 H_global = 2.277 ΔH = -0.000 BER = 0.0190 per_class = [0.014009147962982662, 0.006619096492514214, 0.016877637130801686, 0.013895028241019802, 0.013899939722724533, 0.01001150747986191, 0.012778782399035564, 0.04699457504520796, 0.013981588032220944, 0.04078963230861965] agree = 0.981 flip_asym = 0.838

[E_seq] n, E_wald
16590,0.00273279

[E_final] E_wald=0.00273279

Top-100 worst injections
 80) Inj  11501 | FRcrit=0.890625 | maj=2@0.74 Δmax=0.652 KL=1.546 | inception4c.branch2.0.conv [41, 357, 0, 0] bit 30
 81) Inj  14709 | FRcrit=0.890625 | maj=5@0.75 Δmax=0.660 KL=1.737 | inception4c.branch2.0.conv [110, 480, 0, 0] bit 30
 82) Inj  15110 | FRcrit=0.890625 | maj=2@0.57 Δmax=0.477 KL=1.453 | inception4c.branch2.0.conv [57, 477, 0, 0] bit 30
 83) Inj   4995 | FRcrit=0.890625 | maj=3@0.61 Δmax=0.504 KL=1.574 | inception4c.branch2.0.conv [62, 213, 0, 0] bit 30
 84) Inj   5029 | FRcrit=0.886719 | maj=6@0.59 Δmax=0.461 KL=1.012 | inception4c.branch2.0.conv [94, 258, 0, 0] bit 30
 85) Inj    763 | FRcrit=0.886719 | maj=5@0.82 Δmax=0.738 KL=1.898 | inception4c.branch2.0.conv [20, 260, 0, 0] bit 30
 86) Inj   5150 | FRcrit=0.886719 | maj=6@0.52 Δmax=0.391 KL=1.530 | inception4c.branch2.0.conv [57, 352, 0, 0] bit 30
 87) Inj   9510 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4c.branch2.0.conv [42, 505, 0, 0] bit 30
 88) Inj   4894 | FRcrit=0.882812 | maj=2@0.49 Δmax=0.398 KL=1.268 | inception4c.branch2.0.conv [81, 239, 0, 0] bit 30
 89) Inj  16257 | FRcrit=0.882812 | maj=2@0.83 Δmax=0.742 KL=1.877 | inception4c.branch2.0.conv [92, 454, 0, 0] bit 30
 90) Inj   8650 | FRcrit=0.882812 | maj=6@0.38 Δmax=0.273 KL=0.951 | inception4c.branch2.0.conv [72, 450, 0, 0] bit 30
 91) Inj  10118 | FRcrit=0.882812 | maj=5@0.56 Δmax=0.477 KL=1.359 | inception4c.branch2.0.conv [87, 268, 0, 0] bit 30
 92) Inj   1816 | FRcrit=0.878906 | maj=5@0.57 Δmax=0.480 KL=1.544 | inception4c.branch2.0.conv [21, 163, 0, 0] bit 30
 93) Inj  12926 | FRcrit=0.878906 | maj=6@0.97 Δmax=0.844 KL=1.911 | inception4c.branch2.0.conv [27, 462, 0, 0] bit 30
 94) Inj   7828 | FRcrit=0.878906 | maj=6@0.91 Δmax=0.785 KL=1.710 | inception4c.branch2.0.conv [51, 237, 0, 0] bit 30
 95) Inj   5847 | FRcrit=0.875000 | maj=1@0.94 Δmax=0.797 KL=1.718 | inception4c.branch2.0.conv [66, 15, 0, 0] bit 30
 96) Inj   4106 | FRcrit=0.875000 | maj=1@0.55 Δmax=0.402 KL=1.388 | inception4c.branch2.0.conv [8, 186, 0, 0] bit 30
 97) Inj  12323 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | inception4c.branch2.0.conv [0, 396, 0, 0] bit 30
 98) Inj  12524 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | inception4c.branch2.0.conv [95, 324, 0, 0] bit 30
 99) Inj  14530 | FRcrit=0.871094 | maj=1@0.95 Δmax=0.801 KL=1.728 | inception4c.branch2.0.conv [116, 364, 0, 0] bit 30
100) Inj  12815 | FRcrit=0.871094 | maj=1@0.85 Δmax=0.707 KL=1.514 | inception4c.branch2.0.conv [74, 460, 0, 0] bit 30
