[PROP/wald] K=1  FRcrit_avg=0.02098144  conf=0.99  n=16590
half_norm=0.00286639  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2162688
EP_control=wald  E_wald_final=0.00286639
Wald_CI(99%):   [0.01811504, 0.02384783]   half=0.00286639   se=0.00111273   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11111252 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06880650994575045, 0.1429256611663653, 0.09258071503918022, 0.10640728601567209, 0.08134041591320072, 0.08568862078059072, 0.1279458163803496, 0.09516321955997589, 0.08537687424653406, 0.11376488095238095] Δmax = 0.003 KL = 0.000 TV = 0.009 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0206 per_class = [0.015459348296280538, 0.01506117328902139, 0.01542574101737558, 0.013631594222311522, 0.01461121157323689, 0.014674776700093156, 0.014806290755657845, 0.04668836648583484, 0.014866568031124993, 0.0410126582278481] agree = 0.979 flip_asym = 0.572

[E_seq] n, E_wald
16590,0.00286639

[E_final] E_wald=0.00286639

Top-100 worst injections
 70) Inj   5065 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [44, 29, 0, 0] bit 30
 71) Inj   6874 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [9, 241, 0, 0] bit 30
 72) Inj   7132 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [23, 133, 0, 0] bit 30
 73) Inj   9885 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [76, 409, 0, 0] bit 30
 74) Inj  10405 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [84, 460, 0, 0] bit 30
 75) Inj   2994 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [7, 241, 0, 0] bit 30
 76) Inj   4116 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [77, 273, 0, 0] bit 30
 77) Inj   4872 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [15, 342, 0, 0] bit 30
 78) Inj   4059 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [64, 213, 0, 0] bit 30
 79) Inj   8326 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [93, 15, 0, 0] bit 30
 80) Inj  10519 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [84, 438, 0, 0] bit 30
 81) Inj  12776 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [100, 492, 0, 0] bit 30
 82) Inj   5894 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [92, 356, 0, 0] bit 30
 83) Inj   7844 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [28, 73, 0, 0] bit 30
 84) Inj   6716 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [124, 111, 0, 0] bit 30
 85) Inj  10212 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [29, 147, 0, 0] bit 30
 86) Inj  11988 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [83, 243, 0, 0] bit 30
 87) Inj  11050 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [19, 315, 0, 0] bit 30
 88) Inj  11418 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [46, 393, 0, 0] bit 30
 89) Inj   7469 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [15, 373, 0, 0] bit 30
 90) Inj   4017 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [46, 180, 0, 0] bit 30
 91) Inj   4951 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [7, 443, 0, 0] bit 30
 92) Inj   4869 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [12, 40, 0, 0] bit 30
 93) Inj   6578 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [20, 369, 0, 0] bit 30
 94) Inj   5588 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [92, 400, 0, 0] bit 30
 95) Inj  12722 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [15, 69, 0, 0] bit 30
 96) Inj   8443 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [121, 340, 0, 0] bit 30
 97) Inj   9034 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [53, 55, 0, 0] bit 30
 98) Inj  12455 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [13, 346, 0, 0] bit 30
 99) Inj  12545 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [76, 445, 0, 0] bit 30
100) Inj  12653 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch4.1.conv [64, 41, 0, 0] bit 30
