[PROP/wald] K=1  FRcrit_avg=0.01902079  conf=0.99  steps=1  n=1255
half_norm=0.00993272  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=7225344
EP_control=wald  E_wald_final=0.00993272
Wald_CI(99%):   [0.00908807, 0.02895351]   half=0.00993272   se=0.00385587   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10244208 (n=1255)
injections_used=1255  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06870019920318725, 0.1461902390438247, 0.08996825199203187, 0.10647099103585657, 0.08028510956175298, 0.0885831673306773, 0.1279289093625498, 0.09470866533864541, 0.0847671812749004, 0.1123972858565737] Δmax = 0.005 KL = 0.000 TV = 0.010 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0188 per_class = [0.013967658776658074, 0.009927856142995585, 0.015797678849818118, 0.011686586985391767, 0.013784860557768924, 0.01006881564650489, 0.012797295665821563, 0.04529083665338646, 0.013908004346251359, 0.040929614873837984] agree = 0.981 flip_asym = 0.727

[E_seq] n, E_wald
664,0.01374782
1255,0.00993272

[E_final] E_wald=0.00993272

Top-100 worst injections (proposed iter EP)
 72) Inj   1069 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch2.1.conv [27, 13, 0, 2] bit 2
 73) Inj    464 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch2.1.conv [202, 78, 0, 1] bit 14
 74) Inj   1012 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch2.1.conv [73, 18, 2, 2] bit 21
 75) Inj    751 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch2.1.conv [129, 96, 2, 2] bit 24
 76) Inj   1068 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch2.1.conv [200, 35, 0, 2] bit 7
 77) Inj    798 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch2.1.conv [43, 94, 1, 2] bit 31
 78) Inj    784 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch2.1.conv [127, 39, 1, 0] bit 6
 79) Inj    998 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch2.1.conv [112, 66, 1, 2] bit 8
 80) Inj   1138 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch2.1.conv [124, 5, 2, 2] bit 10
 81) Inj    819 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch2.1.conv [189, 77, 0, 2] bit 28
 82) Inj    919 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch2.1.conv [132, 74, 0, 1] bit 26
